yearmonth,view,executeCount,userCount
200807,org.eclipse.contribution.spider.navigator.SpiderNavigatorView,5,1
200807,org.eclipse.contribution.spider.view,4,1
200807,org.eclipse.contribution.visualiser.views.Menu,29,20
200807,org.eclipse.contribution.visualiser.views.Visualiser,30,11
200807,org.eclipse.contribution.xref.ui.views.XReferenceView,60,33
200807,org.eclipse.datatools.connectivity.DataSourceExplorerNavigator,7162,2820
200807,org.eclipse.datatools.sqltools.plan.planView,411,196
200807,org.eclipse.datatools.sqltools.result.resultView,2659,502
200807,org.eclipse.dd.dsf.debug.ui.disassembly.view,4,2
200807,org.eclipse.debug.expressionview,10,4
200807,org.eclipse.debug.ui.BreakpointView,7000,2282
200807,org.eclipse.debug.ui.DebugView,69036,7079
200807,org.eclipse.debug.ui.ExpressionView,4038,1048
200807,org.eclipse.debug.ui.MemoryView,371,146
200807,org.eclipse.debug.ui.ModuleView,143,91
200807,org.eclipse.debug.ui.PHPBrowserOutput,47,18
200807,org.eclipse.debug.ui.PHPDebugOutput,154,47
200807,org.eclipse.debug.ui.PHPStackView,2,2
200807,org.eclipse.debug.ui.RegisterView,199,111
200807,org.eclipse.debug.ui.VariableView,25607,4673
200807,org.eclipse.dltk.callhierarchy.view,8,4
200807,org.eclipse.dltk.debug.ui.dbgpLogView,5,2
200807,org.eclipse.dltk.ruby.ui.extbrowsing,1,1
200807,org.eclipse.dltk.ruby.ui.Members,1,1
200807,org.eclipse.dltk.ruby.ui.Projects,8,4
200807,org.eclipse.dltk.ruby.ui.RubyDocumentationView,25,12
200807,org.eclipse.dltk.testing.ResultView,2,1
200807,org.eclipse.dltk.ui.ScriptExplorer,444,60
200807,org.eclipse.dltk.ui.TypeHierarchy,18,11
200807,org.eclipse.ecf.example.collab.discoveryview,218,94
200807,org.eclipse.ecf.filetransfer.ui.FileTransfersView,22,9
200807,org.eclipse.ecf.internal.example.collab.ui.LineChatView,467,131
200807,org.eclipse.ecf.presence.ui.chatroom.ChatRoomManagerView,207,47
200807,org.eclipse.ecf.presence.ui.MessagesView,611,81
200807,org.eclipse.ecf.presence.ui.MultiRosterView,759,136
200807,org.eclipse.eclipsemonkey.views.ScriptsInfoView,1,1
200807,org.eclipse.eclipsemonkey.views.ScriptsView,65,25
200807,org.eclipse.emf.cdo.CDOSessionsView,33,16
200807,org.eclipse.emf.ecoretools.internal.views.EClassHierarchyView,41,21
200807,org.eclipse.emf.ecoretools.internal.views.EReferencesView,35,18
200807,org.eclipse.epf.authoring.ui.views.ConfigurationView,3,2
200807,org.eclipse.epf.authoring.ui.views.LibraryView,14,1
200807,org.eclipse.externaltools.views.CommitHistoryView,1,1
200807,org.eclipse.gef.ui.palette_view,1506,302
200807,org.eclipse.gmf.bridge.ui.dashboard.DashboardPart,371,45
200807,org.eclipse.help.ui.HelpView,2414,1234
200807,org.eclipse.hyades.execution.recorder.ui.views.RecorderControlView,25,4
200807,org.eclipse.hyades.log.ui.internal.navigator.LogNavigator,30,15
200807,org.eclipse.hyades.logging.adapter.ui.internal.views.contentview,2,1
200807,org.eclipse.hyades.logging.adapter.ui.internal.views.logview,1,1
200807,org.eclipse.hyades.logging.adapter.ui.internal.views.resultview,3,2
200807,org.eclipse.hyades.sd.logc.LogInteractionsView,1,1
200807,org.eclipse.hyades.test.ui.TestNavigator,41,11
